# Step   Strain(%)   FlowStress(GPa)
0 0 0.22273625224214999019
100 0.10000000000000000555 -0.054345441177341899386
200 0.2000000000000000111 -0.38113898667451001634
300 0.2999999999999999889 -0.77372316738603497122
400 0.4000000000000000222 -1.1456029876340501072
500 0.5 -1.5141885801838599335
600 0.5999999999999999778 -1.8818249792096799489
700 0.69999999999999995559 -2.2496878864068601267
800 0.80000000000000004441 -2.6201216414943799826
900 0.9000000000000000222 -3.0081436628342599349
1000 1 -3.4282257773862898631
1100 1.1000000000000000888 -3.844028746150180087
1200 1.1999999999999999556 -4.2532901140555399166
1300 1.3000000000000000444 -4.6227575794295701073
1400 1.3999999999999999112 -4.9839217505334403313
1500 1.5 -5.309320792950980028
1600 1.6000000000000000888 -5.5971631748565400244
1700 1.6999999999999999556 -5.8201388944494700795
1800 1.8000000000000000444 -6.0202200453737297892
1900 1.8999999999999999112 -6.1820455189299901022
2000 2 -6.3644812157486798654
2100 2.1000000000000000888 -6.5422594177996495901
2200 2.2000000000000001776 -6.7495868542965800074
2300 2.2999999999999998224 -6.9222136041202801948
2400 2.3999999999999999112 -7.0623785793224902463
2500 2.5 -7.1719375134272898009
2600 2.6000000000000000888 -7.249663555546139726
2700 2.7000000000000001776 -7.3133982774445298602
2800 2.7999999999999998224 -7.3619620685201301313
2900 2.8999999999999999112 -7.3793825861065602822
3000 3 -7.3542259520937802719
3100 3.1000000000000000888 -7.2725144333444697864
3200 3.2000000000000001776 -7.1663827501858499147
3300 3.2999999999999998224 -7.0583780905558297647
3400 3.3999999999999999112 -6.9275967198147201387
3500 3.5 -6.7811360747296296481
3600 3.6000000000000000888 -6.6000617638871297288
3700 3.7000000000000001776 -6.4058827250699899025
3800 3.7999999999999998224 -6.205153666726370254
3900 3.8999999999999999112 -5.9722250702070196482
4000 4 -5.6512190033595199878
4100 4.0999999999999996447 -5.3102509994012701
4200 4.2000000000000001776 -5.0661008005686696265
4300 4.2999999999999998224 -4.8952032043365898417
4400 4.4000000000000003553 -4.7448151420984601145
4500 4.5 -4.5854355943706401888
4600 4.5999999999999996447 -4.4335605813487504179
4700 4.7000000000000001776 -4.2879051630546198837
4800 4.7999999999999998224 -4.1577880351857698926
4900 4.9000000000000003553 -4.0225013438482202233
5000 5 -3.8869969884328199328
5100 5.0999999999999996447 -3.7371976603867000932
5200 5.2000000000000001776 -3.5744310142686801512
5300 5.2999999999999998224 -3.395235335722230019
5400 5.4000000000000003553 -3.213311624845209824
5500 5.5 -3.0392485211229800512
5600 5.5999999999999996447 -2.8777811108466599954
5700 5.7000000000000001776 -2.7165892249487799681
5800 5.7999999999999998224 -2.5764422910695201629
5900 5.9000000000000003553 -2.4385937471976699698
6000 6 -2.2996734418961399804
6100 6.0999999999999996447 -2.1698442820478800463
6200 6.2000000000000001776 -2.0399359089119197819
6300 6.2999999999999998224 -1.9405140437936601039
6400 6.4000000000000003553 -1.8342966877108599633
6500 6.5 -1.747297640293119958
6600 6.5999999999999996447 -1.6889171747985900485
6700 6.7000000000000001776 -1.6226302480066701062
6800 6.7999999999999998224 -1.5688709387618300362
6900 6.9000000000000003553 -1.5159670604677599748
7000 7 -1.4668907098415999712
7100 7.0999999999999996447 -1.4232675853932799104
7200 7.2000000000000001776 -1.3943068194679399951
7300 7.2999999999999998224 -1.3717666809626400948
7400 7.4000000000000003553 -1.3411202904313799245
7500 7.5 -1.3144956886397300977
7600 7.5999999999999996447 -1.2947623393653999724
7700 7.7000000000000001776 -1.2837156954045199075
7800 7.7999999999999998224 -1.2418461159275799854
7900 7.9000000000000003553 -1.2094544397164499472
8000 8 -1.1764424014467400603
8100 8.0999999999999996447 -1.1336641940201799272
8200 8.1999999999999992895 -1.0828379707424200529
8300 8.3000000000000007105 -1.0359666423435300864
8400 8.4000000000000003553 -0.97700314257389897499
8500 8.5 -0.91867453083664296631
8600 8.5999999999999996447 -0.85920561769393200002
8700 8.6999999999999992895 -0.79724244847722602891
8800 8.8000000000000007105 -0.73702486895955998669
8900 8.9000000000000003553 -0.6711679221281540153
9000 9 -0.61709114912681695131
9100 9.0999999999999996447 -0.5683269950140640292
9200 9.1999999999999992895 -0.52634640886224104417
9300 9.3000000000000007105 -0.49089614940561898671
9400 9.4000000000000003553 -0.46560029545711500987
9500 9.5 -0.43202317002292900394
9600 9.5999999999999996447 -0.41758028837958599544
9700 9.6999999999999992895 -0.40482640489199200884
9800 9.8000000000000007105 -0.39614274898023399407
9900 9.9000000000000003553 -0.39453669703695498638
10000 10 -0.3913612233692900233
